popularity,title,genre
1485,Saiunkoku Monogatari,"['Adventure', 'Fantasy', 'Comedy', 'Romance', 'Historical', 'Drama']"
1474,Ookiku Furikabutte,"['Comedy', 'Seinen', 'Sports']"
3624,One Piece: Episode of East Blue - Luffy to 4-nin no Nakama no Daibouken,"['Action', 'Adventure', 'Comedy', 'Super Power', 'Drama', 'Fantasy', 'Shounen']"
1826,One Piece 3D2Y: Ace no shi wo Koete! Luffy Nakama Tono Chikai,"['Adventure', 'Comedy', 'Fantasy', 'Shounen']"
482,Mawaru Penguindrum,"['Mystery', 'Comedy', 'Dementia', 'Psychological', 'Drama']"
413,Megalo Box,"['Action', 'Sci-Fi', 'Slice of Life', 'Sports', 'Drama']"
1582,Kuuchuu Buranko,"['Comedy', 'Psychological', 'Drama', 'Seinen']"
1655,Kaleido Star,"['Comedy', 'Sports', 'Drama', 'Fantasy', 'Shoujo']"
3933,Ie Naki Ko Remy,"['Adventure', 'Slice of Life', 'Historical', 'Drama']"
793,Grisaia no Meikyuu: Caprice no Mayu 0,['Drama']
2922,Gintama: Dai Hanseikai,"['Action', 'Comedy', 'Parody', 'Samurai']"
299,Drifters,"['Action', 'Adventure', 'Comedy', 'Historical', 'Samurai', 'Fantasy', 'Seinen']"
520,Full Metal Panic! The Second Raid,"['Action', 'Military', 'Mecha']"
3683,Detective Conan OVA 09: The Stranger in 10 Years...,"['Adventure', 'Comedy', 'Mystery', 'Police', 'Shounen']"
11929,Fuichin-san,"['Drama', 'Historical', 'Kids', 'Shoujo']"
3441,Aria The Avvenire,"['Fantasy', 'Sci-Fi', 'Shounen', 'Slice of Life']"
2374,Yuri!!! on Ice: Yuri Plisetsky GPF in Barcelona EX - Welcome to The Madness,"['Music', 'Sports']"
1117,Trigun: Badlands Rumble,"['Action', 'Sci-Fi', 'Adventure', 'Comedy', 'Drama', 'Shounen']"
2647,Tennis no Ouji-sama: Zenkoku Taikai-hen - Semifinal,"['Action', 'Comedy', 'Sports']"
2377,Tennis no Ouji-sama: Zenkoku Taikai-hen,"['Action', 'Comedy', 'Sports', 'Shounen']"
3497,SKET Dance: Imouto no Nayami ni Nayamu Ani ni Nayamu Imouto to Sono Nakama-tachi,"['Comedy', 'School', 'Shounen']"
241,Serial Experiments Lain,"['Dementia', 'Drama', 'Mystery', 'Psychological', 'Sci-Fi', 'Supernatural']"
